epoch,loss_G,loss_D,FID,KID,JSD,SSIM,PSNR,LPIPS
1,0.543290019,-0.673706353,,,,,,
2,0.783001721,-0.126322061,,,,,,
3,1.430848122,0.039633155,,,,,,
4,0.382833004,-0.555913448,,,,,,
5,2.127991676,-0.494386405,135.7599176,0.051898334,0.46650857,0.357465807,12.59761912,0.325540006
6,0.929465652,-0.425037652,,,,,,
7,1.422765493,-0.685041428,,,,,,
8,2.250813246,-0.574289322,,,,,,
9,1.417901993,-0.072282165,,,,,,
10,1.771692514,-1.460335851,132.9473511,0.031744227,0.495410798,0.366806523,13.06815231,0.350559592
11,1.005074024,-0.475749552,,,,,,
12,1.614512801,-0.348982036,,,,,,
13,2.005440712,-1.107938409,,,,,,
14,1.873581409,-0.880138755,,,,,,
15,0.322773159,-0.434739113,144.4934671,0.047557883,0.453671109,0.391511981,13.33572416,0.32588172
16,1.321099997,-0.313315809,,,,,,
17,0.92068392,-0.297353506,,,,,,
18,0.991987228,-0.303344369,,,,,,
19,1.347165346,-0.656183004,,,,,,
20,2.272667885,-1.365255594,127.9898052,0.054445859,0.500251301,0.372758082,13.09875955,0.344947994
21,0.543427706,-1.678844213,,,,,,
22,0.805408239,-0.692913413,,,,,,
23,1.49495554,-0.128493756,,,,,,
24,1.246713877,-0.649564266,,,,,,
25,2.223197937,-1.872216225,172.372487,0.105296247,0.485307577,0.365177845,13.15462558,0.339732468
26,1.040610552,-0.599855065,,,,,,
27,0.598119736,-0.265346766,,,,,,
28,0.879044294,-1.255546451,,,,,,
29,0.739977002,-0.046799414,,,,,,
30,1.75777173,0.076764822,122.140969,0.022331871,0.510744399,0.355945818,13.02724636,0.34372592
31,2.086459875,-1.293820024,,,,,,
32,0.761850417,-1.011015773,,,,,,
33,1.599802017,0.463348538,,,,,,
34,1.687152147,-1.564429998,,,,,,
35,1.018857241,-1.110099196,167.6123175,0.057512984,0.48951584,0.3677242,13.19131809,0.343937159
36,1.016060829,-0.633717179,,,,,,
37,1.444915771,-0.237866163,,,,,,
38,1.305431604,-0.65270257,,,,,,
39,0.821661472,-1.329989076,,,,,,
40,1.73170507,-1.717680454,165.395497,0.044253875,0.515909838,0.352355072,12.37669517,0.350363493
41,1.644686937,-0.476545453,,,,,,
42,1.875607014,-0.383294106,,,,,,
43,1.383006454,-1.011932254,,,,,,
44,1.08650279,-0.629352212,,,,,,
45,1.959596395,-2.182813883,181.8002684,0.069790311,0.522992319,0.374068901,13.29817255,0.3448596
46,2.148128986,-1.582343817,,,,,,
47,2.093286037,-1.726724386,,,,,,
48,0.692611814,-1.316067696,,,,,,
49,0.91764313,-1.556488514,,,,,,
50,0.651290417,-0.345553517,156.9872021,0.057478126,0.484663858,0.379995126,13.24728713,0.334621608
51,1.926286578,-0.631965995,,,,,,
52,1.510592937,-0.3442626,,,,,,
53,1.134020567,-0.377335191,,,,,,
54,1.742399216,-1.296978951,,,,,,
55,1.128940821,-0.32486254,112.3985696,0.029066792,0.528136979,0.366861217,12.43449785,0.353697091
56,1.086762905,-0.595025361,,,,,,
57,0.693477035,-0.719330847,,,,,,
58,0.984896362,-0.229657054,,,,,,
59,1.417289972,-1.074930191,,,,,,
60,2.447341919,-1.472222924,121.3089197,0.017055212,0.483501297,0.389866174,13.41554619,0.318386078
61,1.993554115,-1.860637665,,,,,,
62,0.856833279,-0.537133813,,,,,,
63,1.91957891,-0.592865944,,,,,,
64,0.212961793,-0.268593132,,,,,,
65,1.445433617,-0.462214589,112.9364031,0.031824119,0.479833186,0.384175929,13.67778279,0.311573982
66,1.062977552,-0.518583417,,,,,,
67,1.390754819,0.089512259,,,,,,
68,1.601810455,-1.779860258,,,,,,
69,1.959579945,-2.503017426,,,,,,
70,1.681356668,-0.562748909,131.8068265,0.038353235,0.487588422,0.381348326,13.20378454,0.338018119
71,2.031741858,-0.50108099,,,,,,
72,2.134929657,-2.460839033,,,,,,
73,0.934335589,-0.736542463,,,,,,
74,2.218090296,-2.013939381,,,,,,
75,1.662660241,-2.019312382,112.9361586,0.028419139,0.500805943,0.377490331,13.10224974,0.331526339
76,1.438499212,-1.06821537,,,,,,
77,2.215337515,-2.098451376,,,,,,
78,2.126578569,-1.733429432,,,,,,
79,1.31399107,-0.434756517,,,,,,
80,1.185070872,-0.563614249,118.5726804,0.029427562,0.466104718,0.375994163,13.62535396,0.327474922
81,1.835215569,-2.082312107,,,,,,
82,1.409503579,-0.325509429,,,,,,
83,1.051171541,-0.63491714,,,,,,
84,0.874974847,-0.814805746,,,,,,
85,0.70931983,0.028145075,130.4119933,0.040947031,0.500840117,0.358752012,12.24529495,0.319416791
86,1.798846483,-0.69346571,,,,,,
87,1.302898288,-0.676839471,,,,,,
88,1.729764462,-1.212333441,,,,,,
89,1.553861022,-1.165521026,,,,,,
90,0.743028879,-0.55948472,110.1913466,0.015355365,0.483548252,0.377360487,13.15385116,0.329370707
91,1.269066334,-1.321817875,,,,,,
92,1.168061256,-0.366117179,,,,,,
93,1.769848704,-1.388241529,,,,,,
94,2.05939436,-1.048455,,,,,,
95,2.104798079,-1.388559103,115.4791527,0.03069569,0.507014863,0.380469791,13.18838836,0.332181156
96,1.215018511,-0.815016031,,,,,,
97,1.409222603,-0.509293795,,,,,,
98,2.084242821,-2.53193903,,,,,,
99,2.037241459,-1.297609329,,,,,,
100,2.069839001,-1.468847275,132.5561175,0.010567585,0.490618237,0.377733543,13.32658794,0.332357347
101,1.454541564,-1.220950246,,,,,,
102,1.429273605,-1.56141305,,,,,,
103,2.117236614,-0.136908889,,,,,,
104,2.218697548,-1.893942595,,,,,,
105,2.26940918,-1.634815097,100.1475987,0.040969539,0.458587912,0.409093112,14.55044847,0.307965159
106,1.625854969,0.08044897,,,,,,
107,1.064532042,-0.534547091,,,,,,
108,1.333943367,-0.418903351,,,,,,
109,1.024034142,-0.990853906,,,,,,
110,2.239414215,-2.068578482,115.335644,0.011124103,0.518524379,0.351844993,12.38928186,0.350144327
111,2.068932772,-1.561444044,,,,,,
112,2.256680489,-2.133358002,,,,,,
113,1.530370474,-1.868885875,,,,,,
114,1.287655473,-0.480730534,,,,,,
115,1.403360605,-1.023685455,114.0111423,0.016549177,0.493113586,0.39076301,13.1692529,0.344252735
116,2.53824091,-2.496725321,,,,,,
117,0.161856651,-0.772467971,,,,,,
118,1.176411033,-0.850260258,,,,,,
119,0.912760258,-0.604391515,,,,,,
120,0.589375377,-0.463508487,,,,,,
121,1.902992606,-1.857715607,,,,,,
122,0.744023144,0.124505639,,,,,,
123,2.456273079,-0.301587582,,,,,,
124,2.00182128,-0.569460273,,,,,,
125,1.583462715,-0.942030549,107.5410231,0.009746817,0.500234214,0.393684975,13.08835484,0.320821404
126,1.062196016,0.108111262,,,,,,
127,2.15901804,-0.431460619,,,,,,
128,1.085741758,-0.802551925,,,,,,
129,0.88350606,0.319920063,,,,,,
130,2.188292742,-0.98431915,146.2431616,0.028595688,0.474862595,0.385651308,13.47926604,0.325633407
131,1.400030136,-0.425249398,,,,,,
132,0.444095224,-0.452378601,,,,,,
133,2.460647106,-2.632883549,,,,,,
134,1.308907986,-0.371973723,,,,,,
135,2.331095219,-0.508739829,131.9054608,0.049419433,0.540930852,0.369796887,12.77658165,0.367247403
136,2.43949461,-0.411242247,,,,,,
137,1.423711538,-1.680052757,,,,,,
138,1.241324306,-1.034123421,,,,,,
139,2.204193592,-2.083647966,,,,,,
140,1.731677532,-0.79403317,113.2922432,0.017037954,0.519095595,0.372985571,12.99496535,0.358326018
141,2.07991457,-0.904815853,,,,,,
142,0.91753602,-1.521609306,,,,,,
143,2.342660904,-1.407835841,,,,,,
144,0.945643723,-0.538701057,,,,,,
145,1.46771574,-0.279848456,123.0198717,0.030417988,0.504025467,0.376374281,12.70062175,0.340422928
146,1.148866534,-0.375711441,,,,,,
147,1.95157218,-0.504821301,,,,,,
148,1.957904577,-1.792016745,,,,,,
149,1.116151929,-2.090234756,,,,,,
150,0.822401524,-0.751330376,120.0539157,0.032417383,0.469920866,0.420803981,13.75287877,0.292742789
151,1.666637897,-0.050887033,,,,,,
152,2.07832098,-0.084167719,,,,,,
153,1.470793247,-1.582923651,,,,,,
154,1.683322668,-0.433131576,,,,,,
155,1.83188343,-0.612746358,118.0494103,0.040414851,0.476987132,0.389072811,13.19750744,0.308117807
156,2.352362394,-0.537724376,,,,,,
157,2.205924749,-0.508698583,,,,,,
158,1.768327832,-0.514750242,,,,,,
159,1.173333049,-0.441568613,,,,,,
160,0.962246239,0.064923823,123.6547888,0.031715695,0.477274633,0.376377511,13.47687051,0.333925307
161,1.718118191,-0.130286455,,,,,,
162,2.247646332,-0.62426877,,,,,,
163,1.370838642,-0.182028294,,,,,,
164,1.299573421,-0.471859634,,,,,,
165,1.177176476,-0.692696333,154.454982,0.07159657,0.493983541,0.359869837,12.43350014,0.34389323
166,1.740101695,-1.528398752,,,,,,
167,1.123544693,-0.477723181,,,,,,
168,1.844532967,-0.55827117,,,,,,
169,0.86878252,-0.084943652,,,,,,
170,1.000099659,-1.530080795,125.4591407,0.021982647,0.511880305,0.382353358,13.31753005,0.343227565
171,1.628123283,-0.153989434,,,,,,
172,2.091425896,-0.499466121,,,,,,
173,2.01696682,-1.864153862,,,,,,
174,2.253381014,-1.661459088,,,,,,
175,1.84794426,-2.482561111,108.3707001,0.01947435,0.492032867,0.385155846,13.60653261,0.31905666
176,2.208498955,-0.581890583,,,,,,
