epoch,G_loss,D_loss,FID,KID,JSD,SSIM,PSNR,LPIPS,kimg_acu,kimg,carpeta
0.000797607,0.783232927,1.793878078,280.1217472,0.803523491,0.129984216,0.109183992,5.899750561,0.794355094,0.032000002,0.032000002,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
0.100498506,2.795172375,1.219008359,,,,,,,4.032000065,4.032000065,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
0.200199392,2.385957354,1.006424258,,,,,,,8.031999588,8.031999588,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
0.299900289,1.901714404,0.969749767,,,,,,,12.03199959,12.03199959,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
0.399601186,1.463820386,1.156695701,303.5411624,0.983101856,0.185699599,0.211677607,13.61039748,0.723124981,16.03199959,16.03199959,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
0.499302083,1.258778089,1.209721828,,,,,,,20.03199959,20.03199959,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
0.599002981,1.488474986,1.174282522,,,,,,,24.03199959,24.03199959,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
0.698703878,1.296770151,1.187052439,,,,,,,28.03199959,28.03199959,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
0.798404823,1.079862389,1.288116317,206.5176996,0.82991576,0.130469764,0.221153574,14.48698008,0.59432584,32.0320015,32.0320015,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
0.89810572,0.916764699,1.309585084,,,,,,,36.0320015,36.0320015,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
0.997806618,0.950335521,1.322835489,,,,,,,40.0320015,40.0320015,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
1.097507515,0.936590457,1.328259831,,,,,,,44.0320015,44.0320015,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
1.197208412,0.920376222,1.318790513,179.1308242,0.549841032,0.042027633,0.250676573,13.84074641,0.477786034,48.0320015,48.0320015,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
1.296909309,0.95992767,1.337557565,,,,,,,52.0320015,52.0320015,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
1.396610207,1.460733999,1.283406203,,,,,,,56.0320015,56.0320015,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
1.496311104,0.81334406,1.293672959,,,,,,,60.0320015,60.0320015,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
1.596011906,0.832780166,1.325344305,144.9045814,0.30425571,0.034855046,0.22041181,13.80697149,0.434452772,64.03199768,64.03199768,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
1.695712804,0.80539516,1.346651415,,,,,,,68.03199768,68.03199768,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
1.795413701,0.780723052,1.357643217,,,,,,,72.03199768,72.03199768,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
1.895114598,0.799728185,1.363517565,,,,,,,76.03199768,76.03199768,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
1.994815496,0.755712132,1.366873218,117.8617199,0.185206981,0.033130605,0.266111525,13.28154471,0.413341135,80.03199768,80.03199768,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
2.094516393,0.7491148,1.377903704,,,,,,,84.03199768,84.03199768,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
2.19421729,0.7544092,1.377227783,,,,,,,88.03199768,88.03199768,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
2.293918187,0.752925665,1.369261098,,,,,,,92.03199768,92.03199768,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
2.393619085,1.32280417,1.298525613,116.6978074,0.186348605,0.031656858,0.300267242,13.56157804,0.431405753,96.03199768,96.03199768,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
2.493319982,0.827968509,1.290446123,,,,,,,100.0319977,100.0319977,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
2.593020879,0.773302804,1.326975203,,,,,,,104.0319977,104.0319977,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
2.692721777,0.765238298,1.34978985,,,,,,,108.0319977,108.0319977,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
2.792422674,0.769552578,1.352079648,105.25366,0.108254224,0.030009419,0.32273166,13.40576042,0.41669786,112.0319977,112.0319977,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
2.892123571,0.75014592,1.368996905,,,,,,,116.0319977,116.0319977,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
2.991824469,0.73966795,1.368012246,,,,,,,120.0319977,120.0319977,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
3.091525366,0.728763263,1.377751178,,,,,,,124.0319977,124.0319977,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
3.191226263,0.745289925,1.373256905,96.94987709,0.082619103,0.026726047,0.337480226,13.06676155,0.405812919,128.0319977,128.0319977,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
3.290927161,0.790003869,1.372143327,,,,,,,132.0319977,132.0319977,00000-frames_extraidos-11gb-gpu-gamma32-batch32-noaug
3.291724768,0.780148447,1.381711721,96.85552736,0.082912823,0.027607328,0.337316261,13.06909968,0.405809283,132.0639977,0.032000002,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
3.391425667,0.759488563,1.364959502,,,,,,,136.0639977,4.032000065,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
3.491126552,0.766237401,1.355887492,,,,,,,140.0639973,8.031999588,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
3.590827449,0.742967114,1.368714338,,,,,,,144.0639973,12.03199959,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
3.690528347,0.74894375,1.367928533,79.64543001,0.060502995,0.036652511,0.340974955,12.97121412,0.399163306,148.0639973,16.03199959,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
3.790229244,0.725503065,1.378335926,,,,,,,152.0639973,20.03199959,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
