epoch,fid
1,154.58396174392814
2,196.79037744257613
3,186.76872840538252
4,174.4288115737859
5,152.04230502845212
6,177.2330654708725
7,169.18459170392535
8,170.8085267348779
9,154.18727836122372
10,159.0986406276362
11,156.7058796881642
12,155.83467618962757
13,150.09756305660966
14,164.7003164884201
15,166.45728274059664
16,172.20548428921833
17,164.22364695193636
18,155.93417721116575
19,172.38314776295968
20,152.53075538781292
21,155.16734892180716
22,156.47202104248043
23,155.54585220898915
24,161.97631143311898
25,150.78514538491723
26,154.85200802461893
27,156.66451790209078
28,153.28935728455605
29,159.02552333373328
30,155.242478360168
31,151.25265399602353
32,159.93687561466706
33,152.17168719564995
34,158.39530285239766
35,161.2273447988885
36,163.66195305972528
37,159.808682459983
38,154.75905222046916
39,152.7131181844798
40,158.68481249837617
41,159.74714134168465
42,152.52880985977842
43,154.1687072679511
44,155.20630066041227
45,152.86013453294086
46,150.25985482572548
47,157.35668475053058
48,153.05597732201542
49,153.7170328470423
50,159.95828869946163
