epoch,rec_loss,perceptual_loss,q_loss,g_loss,gen_loss,disc_loss
1,0.045058452,0.012994675,1.238705691,0.371950585,1.296758818,0
2,0.027611608,0.004830586,0.045935035,0.369741508,0.078524865,0.003081868
3,0.03659376,0.006466612,0.026542956,-0.071978859,-0.173519826,0.500802509
4,0.029718319,0.004571877,0.01606363,-0.10189519,-0.212387523,0.500152246
5,0.032600787,0.004905907,0.013001664,-0.083454306,-0.450595113,0.50081173
6,0.025527796,0.003315812,0.010213725,-0.110072641,-0.557087751,0.50010388
7,0.018381023,0.002319849,0.008633837,0.424036212,0.029334709,0
8,0.017710281,0.002081792,0.008153426,0.423895425,0.027945499,0
9,0.018055468,0.002182024,0.007846257,0.389953362,0.026920751,0.040599554
10,0.035140753,0.005430912,0.010187416,-0.028707676,-0.116875329,0.501659473
11,0.030266924,0.004060193,0.008805928,-0.0535697,-0.278386455,0.500390587
12,0.030713638,0.00385812,0.008821772,-0.055735667,-0.295477412,0.500148415
13,0.025466488,0.002984957,0.008041517,-0.071602079,-0.33088493,0.500227103
14,0.027489755,0.003381873,0.008032831,-0.09920818,-0.758653902,0.500169682
15,0.025150747,0.002811272,0.007813512,-0.078974097,-0.48785225,0.500191209
16,0.026938035,0.003163292,0.00792822,-0.06374329,-0.584304502,0.500185011
17,0.024477038,0.002744386,0.007507674,-0.058156434,-0.445122993,0.500169445
18,0.025429657,0.002795041,0.007844813,-0.110344649,-0.727521894,0.50018522
19,0.031790143,0.004392548,0.007213503,-0.037159894,-0.278983081,0.501555407
20,0.024756565,0.002922628,0.006866926,-0.078356619,-0.45697033,0.500250751
21,0.025580972,0.002868907,0.006853857,-0.101179966,-0.734728115,0.500203486
22,0.024020892,0.002630451,0.006797134,-0.12928952,-0.902785878,0.500124695
23,0.024365358,0.002771124,0.007008454,-0.141340923,-1.193414268,0.500126268
24,0.02144903,0.002144697,0.006508419,-0.121412801,-0.747010308,0.500117432
25,0.021717628,0.002169742,0.006497897,-0.129234955,-0.839477135,0.5001089
26,0.022202291,0.002282638,0.006685436,-0.120620111,-0.947016245,0.500105166
27,0.02078878,0.002017476,0.006583734,-0.104499576,-0.817457079,0.500091413
28,0.027086244,0.003039498,0.006724552,-0.060938301,-0.447697295,0.500619575
29,0.022166214,0.002139712,0.00642667,-0.106775749,-0.729434801,0.500134887
30,0.024856404,0.002564214,0.005894401,-0.080868429,-0.53138523,0.500655297
31,0.021514073,0.002053408,0.005880489,-0.110078953,-0.922556011,0.500128515
32,0.019684014,0.001976162,0.006147075,-0.139655372,-1.144169871,0.500105113
33,0.02490544,0.002619468,0.005991704,-0.056800047,-0.307338074,0.500738336
34,0.020399416,0.001952797,0.00588804,-0.103632662,-0.648323805,0.500179048
35,0.015390331,0.001358856,0.005615813,0.065000714,-0.288921387,0.441875824
36,0.023692333,0.002222209,0.005751895,-0.056705292,-0.401700119,0.500600121
37,0.020105999,0.001606475,0.00566584,-0.078456408,-0.578531449,0.500142512
38,0.019400397,0.001581226,0.005913974,-0.057395603,-0.422044262,0.500119962
39,0.022166432,0.001911759,0.00556089,-0.013538072,-0.116567586,0.500548584
40,0.020328701,0.001681298,0.00555071,-0.075245756,-0.591283747,0.500132471
41,0.022644058,0.001985239,0.0053282,-0.041386539,-0.279831768,0.500484966
42,0.020785441,0.001662711,0.005446885,-0.066652334,-0.524110385,0.500145487
43,0.018239508,0.001379412,0.005549754,-0.088088108,-0.608896673,0.500121327
44,0.021947222,0.001907239,0.005306749,-0.043921679,-0.25580953,0.500511348
45,0.019961457,0.001530363,0.005379903,-0.068939493,-0.566907394,0.500132007
46,0.018952378,0.001546368,0.005900989,-0.090230119,-0.673802101,0.500115425
47,0.02178811,0.001812855,0.005158625,-0.038008221,-0.227968473,0.500528192
48,0.018444243,0.001401198,0.004976821,-0.118306399,-0.924369449,0.500103729
49,0.018609861,0.001491622,0.005403187,-0.161909193,-1.487866589,0.500093981
50,0.02050643,0.001583185,0.005148157,-0.038800588,-0.211641298,0.500465645
51,0.018103452,0.001337975,0.005352358,-0.044834418,-0.291893977,0.500137915
