epoch,loss_G,loss_D,FID,KID,JSD,SSIM,PSNR,LPIPS
1,1.526170254,-3.081698418,,,,,,
2,1.537544489,-3.108661652,,,,,,
3,1.519204617,-3.090689659,,,,,,
4,1.213228941,-2.789851189,,,,,,
5,1.221346378,-2.829298258,428.0933418,0.617259264,0.529066842,0.022645341,9.180814868,0.914766192
6,1.221807241,-2.825167179,,,,,,
7,1.198223591,-2.653030872,,,,,,
8,1.216931581,-2.80629015,,,,,,
9,1.199565649,-2.766858339,,,,,,
10,1.191675544,-2.707940817,255.4832725,0.310358465,0.564879072,0.122587621,12.63658199,0.522038579
11,1.194288015,-2.722501755,,,,,,
12,1.206269741,-2.773842573,,,,,,
13,1.199734926,-2.758801937,,,,,,
14,1.237507105,-2.616517067,,,,,,
15,1.255721092,-2.603446484,195.3319797,0.220900446,0.54452634,0.256994116,12.55665689,0.445234358
16,1.316458344,-2.701138973,,,,,,
17,1.111911058,-2.69099474,,,,,,
18,1.288580179,-2.763905764,,,,,,
19,1.318099499,-2.699131966,,,,,,
20,0.655102313,-2.298837662,155.2292152,0.116906814,0.524307143,0.296329146,12.50171241,0.411516607
21,1.35773468,-2.77309227,,,,,,
22,1.390323997,-2.941828728,,,,,,
23,1.233882427,-2.828811646,,,,,,
24,1.232939363,-2.843679428,,,,,,
25,1.226446509,-2.840911865,607.3905655,1.021733165,0.767139749,0.263511915,10.86718591,0.580461383
26,1.227664471,-2.843358517,,,,,,
27,1.228127718,-2.843914986,,,,,,
28,1.228828549,-2.846169472,,,,,,
29,1.229001522,-2.84768343,,,,,,
30,1.227207541,-2.84468627,582.1467794,0.943084002,0.692224784,0.184396988,10.862348,0.535742223
31,0.7678442,-2.191173077,,,,,,
32,1.359914064,-2.780899525,,,,,,
33,1.271831274,-2.712307692,,,,,,
34,1.370234251,-2.307749271,,,,,,
35,1.348180294,-2.73654747,123.096168,0.082065642,0.517951899,0.326541443,12.78739459,0.38089186
36,1.387135267,-2.871956825,,,,,,
37,1.383871913,-2.828890324,,,,,,
38,1.324428439,-2.719855785,,,,,,
39,1.39540565,-2.968990803,,,,,,
40,1.234387279,-2.837936878,688.3089504,1.172050595,0.745192668,0.267724838,11.57001652,0.566578746
41,1.22846961,-2.840064049,,,,,,
42,1.228516698,-2.842859983,,,,,,
43,1.228160381,-2.843161583,,,,,,
44,1.228995085,-2.844023705,,,,,,
45,1.22893095,-2.846509457,726.0547385,1.281607866,0.776777537,0.293167068,11.15818661,0.55758357
46,1.228738546,-2.84817934,,,,,,
47,-0.0856378,-0.690598667,,,,,,
48,1.362028837,-2.8175354,,,,,,
49,1.332983732,-2.08809185,,,,,,
50,1.402687073,-2.944900036,125.343746,0.074781761,0.53955328,0.298300187,12.94162657,0.400648117
51,1.258038044,-2.698208332,,,,,,
52,1.406745195,-2.915226221,,,,,,
53,1.399040222,-2.982881308,,,,,,
54,1.248123646,-2.838639259,,,,,,
55,1.228586912,-2.834923029,367.9436926,0.398405671,0.693822245,0.242930188,12.84775251,0.512219071
56,1.234474897,-2.84271574,,,,,,
57,1.212984324,-2.807726383,,,,,,
58,1.217285156,-2.817363977,,,,,,
59,1.217499256,-2.821897984,,,,,,
60,1.369824886,-2.878530979,130.8761314,0.065065719,0.538786201,0.298720668,12.8948319,0.400977075
61,-0.585241735,-2.008994579,,,,,,
62,1.325009584,-2.791670799,,,,,,
63,-0.346324265,-2.059929609,,,,,,
64,1.395022869,-2.953338146,,,,,,
65,1.333716512,-2.953224421,246.1754511,0.251867473,0.633819121,0.220820483,12.09305075,0.52820611
66,1.231596947,-2.844651222,,,,,,
67,1.227569699,-2.844366074,,,,,,
68,1.22911787,-2.847084522,,,,,,
69,1.227987528,-2.845653296,,,,,,
70,1.229283333,-2.847445965,658.6553694,1.160294175,0.77499732,0.300112137,10.75355693,0.581698954
71,1.228775978,-2.847888231,,,,,,
72,1.413140416,-2.929886341,,,,,,
73,1.008418083,-2.456674576,,,,,,
74,1.134562254,-2.563357592,,,,,,
75,1.320129633,-2.758163452,107.64702,0.074115634,0.522216464,0.32669806,13.0299617,0.381433755
76,1.363137484,-2.826966047,,,,,,
77,1.340662479,-2.76977253,,,,,,
78,1.336881399,-2.888861656,,,,,,
79,1.284036875,-2.879199982,,,,,,
80,1.248444915,-2.852666378,330.0000715,0.312582642,0.669576231,0.203545664,12.06241037,0.526436627
81,1.280848503,-2.891819477,,,,,,
82,1.282813787,-2.897242069,,,,,,
83,1.27739048,-2.880281925,,,,,,
84,1.225649953,-2.831123829,,,,,,
